code	name	GDP_2014	GDPCapita_2014	ForestArea_2014	RuralPopulation_2014
CZE	Czech Republic	207818330723.835	19744.5586092159	2801426.0	2801426.0
DEU	Germany	3890606893346.69	48042.5634346518	18472108.0	18472108.0
DJI	Djibouti	1455035088.74594	1595.1463648488	206934.0	206934.0
DNK	Denmark	352993633221.281	62548.9850174371	710514.0	710514.0
DOM	Dominican Republic	66065015410.0468	6348.837769434829	2323625.0	2323625.0
DZA	Algeria	213810022462.428	5466.42577841535	11647553.0	11647553.0
ECU	Ecuador	101726331000.0	6396.63048339218	5842644.0	5842644.0
EGY	Egypt, Arab Rep.	305529656458.438	3327.7542472610803	52480981.0	52480981.0
ERI	Eritrea	2607739837.39837	582.775530237486	2874049.0	2874049.0
ESP	Spain	1376910811040.88	29623.1644451343	9590865.0	9590865.0
EST	Estonia	26224622450.8302	19949.5813766971	417118.0	417118.0
ETH	Ethiopia	55612228233.5179	571.162275886001	78869034.0	78869034.0
FIN	Finland	272609288689.575	49914.61864215889	809669.0	809669.0
FRA	France	2852165760630.27	43008.6525700318	13665094.0	13665094.0
GAB	Gabon	18179752009.7489	9692.182124743442	231632.0	231632.0
GBR	United Kingdom	3022827781881.39	46783.4692171284	11394531.0	11394531.0
GEO	Georgia	16509305828.9648	4429.6500748497	1600113.0	1600113.0
GHA	Ghana	53601126663.9079	1987.9833628541899	12559431.0	12559431.0
GIN	Guinea	8778473640.90839	743.5912878392951	7692942.0	7692942.0
GMB	Gambia, The	1259063629.83287	656.496762958177	795372.0	795372.0
GNB	Guinea-Bissau	1053512334.17271	610.4684902121691	1005850.0	1005850.0
GNQ	Equatorial Guinea	21736500712.9638	19245.651511712	337890.0	337890.0
GRC	Greece	237029579260.722	21760.9797994918	2428790.0	2428790.0
GRL	Greenland	2837737193.76392	50408.3345548258	7987.0	7987.0
GTM	Guatemala	58722323918.1604	3687.76376676599	8020060.0	8020060.0
GUY	Guyana	3077643261.39312	4031.5319388481703	561750.0	561750.0
HND	Honduras	19756494434.7031	2242.70745940423	4006960.0	4006960.0
HRV	Croatia	57671307486.8132	13606.8934415442	1868155.0	1868155.0
HTI	Haiti	8776350789.5993	830.113881624145	5133567.0	5133567.0
HUN	Hungary	140118140454.711	14201.4488320148	2937544.0	2937544.0
IDN	Indonesia	890814755233.225	3491.5958868506896	120842853.0	120842853.0
IND	India	2039127446298.55	1576.00401817614	874855900.0	874855900.0
IRL	Ireland	258099014042.117	55412.9285967265	1754105.0	1754105.0
IRN	Iran, Islamic Rep.	434474616831.914	5540.984135661751	21304294.0	21304294.0
IRQ	Iraq	234648370497.427	6703.07473722928	10586539.0	10586539.0
ISL	Iceland	17304033020.5364	52855.1404780181	20733.0	20733.0
ISR	Israel	308416982140.362	37539.9518166878	648712.0	648712.0
ITA	Italy	2151732868243.21	35396.6657242265	18679287.0	18679287.0
JAM	Jamaica	13852192273.1357	4839.89210430559	1299845.0	1299845.0
JOR	Jordan	35826925774.6479	4066.9407754308795	880931.0	880931.0
JPN	Japan	4850413536037.84	38109.4121125573	11067921.0	11067921.0
KAZ	Kazakhstan	221415572819.5	12807.2606866152	7413562.0	7413562.0
KEN	Kenya	61448041564.0191	1335.1231484276	34416474.0	34416474.0
KGZ	Kyrgyz Republic	7468096566.711579	1279.7697826598599	3756020.0	3756020.0
KHM	Cambodia	16702610842.4025	1093.7620674767	11941910.0	11941910.0
KOR	Korea, Rep.	1411333926201.24	27811.36638377	9283086.0	9283086.0
KWT	Kuwait	162631412508.784	42996.3152212942	149400.0	5085602.0
LAO	Lao PDR	13268458231.9284	2017.58778126205	4439923.0	4439923.0
LBN	Lebanon	48524603055.257	8660.03692753065	675363.0	675363.0
LBR	Liberia	3144000000.0	716.052908657476	2221845.0	2221845.0
LBY	Libya	41142722414.3351	6631.529047259511	1302304.0	1302304.0
LKA	Sri Lanka	79356449840.8881	3820.54064998739	16986939.0	16986939.0
LSO	Lesotho	2614566294.19462	1218.46610643407	1577109.0	1577109.0
LTU	Lithuania	48516371720.8346	16545.1226673996	964514.0	964514.0
LUX	Luxembourg	66327344188.88901	119225.38002277301	56277.0	56277.0
LVA	Latvia	31335013751.5424	15716.369067201102	638967.0	638967.0
MAR	Morocco	110081248587.369	3154.5134842094703	13639379.0	13639379.0
MDA	Moldova	7983241044.201891	2244.75530830835	2045071.0	2045071.0
MDG	Madagascar	10673516672.6664	452.463192574895	15443299.0	15443299.0
MEX	Mexico	1314563967425.24	10582.4105262309	26095232.0	26095232.0
MKD	Macedonia, FYR	11362272837.8818	5469.21789842179	887423.0	887423.0
MLI	Mali	14345828992.0411	845.7206409844839	10314089.0	10314089.0
MMR	Myanmar	65446199787.8425	1260.418503807	36528662.0	36528662.0
MNE	Montenegro	4587926230.59573	7378.341021527041	214705.0	214705.0
MNG	Mongolia	12226514722.0861	4181.5833128422	930881.0	930881.0
MOZ	Mozambique	16961117243.491001	623.286753930288	17993371.0	17993371.0
MRT	Mauritania	5391475277.24326	1326.66865421644	2023710.0	2023710.0
MWI	Malawi	6047813437.31804	354.318989805753	14315293.0	14315293.0
MYS	Malaysia	338061963396.37604	11183.729432082	7987149.0	7987149.0
NAM	Namibia	12786078008.2376	5392.71242089285	1284461.0	1284461.0
NER	Niger	8229731383.7693	429.790957778857	16042569.0	16042569.0
NGA	Nigeria	568498937615.594	3221.67811590831	93555829.0	93555829.0
NIC	Nicaragua	11880438824.4494	1975.46470748978	2543921.0	2543921.0
NLD	Netherlands	879635084124.987	52157.4068701887	1738782.0	1738782.0
NOR	Norway	499338534779.159	97199.9190963458	991897.0	991897.0
NPL	Nepal	20002968837.9471	706.2386976810719	23173509.0	23173509.0
NZL	New Zealand	200955119873.905	44560.640369404806	618686.0	618686.0
OMN	Oman	81076723016.9051	20469.1386524373	786442.0	786442.0
PAK	Pakistan	244360888750.807	1316.9809658343402	119085443.0	119085443.0
PAN	Panama	49921464365.3204	12787.3061955961	1312871.0	1312871.0
PER	Peru	201080662205.00198	6492.053208218969	7070288.0	7070288.0
PHL	Philippines	284584522898.872	2842.93835295221	53962119.0	53962119.0
PNG	Papua New Guinea	23060047127.6509	2973.27054935779	6748464.0	6748464.0
POL	Poland	545285410921.99896	14345.1860569374	15051507.0	15051507.0
PRI	Puerto Rico	102445800000.0	28981.457330586603	224429.0	224429.0
PRK	Korea, Dem. People�â��s Rep.	16120000000.0	1300.0	9770768.0	9770768.0
PRT	Portugal	229629822121.601	22077.5361325219	3855050.0	3855050.0
PRY	Paraguay	40276532540.8812	6146.664055108821	2589974.0	2589974.0
QAT	Qatar	206224725274.725	86852.710189198	26878.0	26878.0
ROU	Romania	199626806401.529	10026.973578179399	9178039.0	9178039.0
RUS	Russian Federation	2063662665172.51	14125.9087274272	37465023.0	37465023.0
RWA	Rwanda	8016591927.659229	706.596709795842	9420390.0	9420390.0
SAU	Saudi Arabia	756350347333.3341	24575.4030378327	5244353.0	5244353.0
SDN	Sudan	82151588418.8325	2176.89802874983	25024387.0	25024387.0
SEN	Senegal	19770919167.0965	1359.18935082349	7936940.0	7936940.0
SLE	Sierra Leone	5015157815.73406	708.439475708292	4216915.0	4216915.0
SLV	El Salvador	22585841200.0	3595.7907332513	1955083.0	1955083.0
SOM	Somalia	6562001351.4788	485.60206106868696	7745858.0	7745858.0
SRB	Serbia	44210806365.6817	6200.17322102474	3167188.0	3167188.0
SUR	Suriname	5235212205.60635	9554.562288487441	185808.0	185808.0
SVK	Slovak Republic	100948236941.18199	18629.7796630086	2492579.0	2492579.0
SVN	Slovenia	49904928335.3069	24202.4308360444	957645.0	957645.0
SWE	Sweden	573817719109.402	59180.1989776727	1333506.0	1333506.0
SWZ	Eswatini	4377293816.28535	3379.8964990926097	995295.0	995295.0
SYR	Syrian Arab Republic	40405006007.2086	2058.0352093943497	9313499.0	9313499.0
TCD	Chad	13922223233.5184	1025.99851471508	10533683.0	10533683.0
TGO	Togo	4568900619.924561	632.0313103591001	4367783.0	4367783.0
THA	Thailand	407339361695.577	5953.793927833621	36299887.0	36299887.0
TJK	Tajikistan	9236309138.04277	1104.45901890381	6133655.0	6133655.0
TKM	Turkmenistan	43524210526.3158	7962.36582439665	2737439.0	2737439.0
TLS	Timor-Leste	4045400000.0	3335.54856721641	859485.0	859485.0
TUN	Tunisia	47632326088.237	4274.292832302371	3591459.0	3591459.0
TUR	Turkey	934185972127.028	12127.461457629899	20738956.0	20738956.0
TZA	Tanzania	48219739330.6593	950.8183027927021	36092205.0	36092205.0
UGA	Uganda	27291879819.3622	702.7951040253661	30482617.0	30482617.0
UKR	Ukraine	133503411375.739	3104.6582957544897	14048791.0	14048791.0
URY	Uruguay	57236013086.1223	16737.8982724965	172858.0	172858.0
USA	United States	17427609000000.0	54696.72616523269	58999333.0	58999333.0
UZB	Uzbekistan	63067077178.5381	2050.44841384558	15117410.0	15117410.0
VEN	Venezuela, RB	482359318767.70294	15692.412877728999	3644342.0	3644342.0
VNM	Vietnam	186204652922.262	2012.0462904122	61898666.0	61898666.0
XKX	Kosovo	7386891336.075359	4054.72133937609	450000.0	695400.0
YEM	Yemen, Rep.	43228583935.0365	1647.03365674887	17279269.0	17279269.0
ZAF	South Africa	350636208163.772	6429.02394967082	19464082.0	19464082.0
ZMB	Zambia	27150630607.2032	1738.08820161939	9156703.0	9156703.0
ZWE	Zimbabwe	19495519600.0	1264.98382557379	10402264.0	10402264.0
